text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
29.12.24 🥰🥰🥰 #phuongly ,12/31/2024 10:21,31/12/2024,FALSE,https://www.tiktok.com/@phuonglytran,Little Love (But No Limit),7.29575E+18,https://www.tiktok.com/@phuonglytran/video/7454410916298378504,177,21200,171,624100,301,101,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,1,1,0,1,0,0,0,0,FALSE
but the heart wants what it wants  😌 #phuongly ,12/29/2024 9:05,29/12/2024,FALSE,https://www.tiktok.com/@phuonglytran,nhạc nền - KiềuMy2k1,7.45338E+18,https://www.tiktok.com/@phuonglytran/video/7453649013124959496,21,62300,660,953200,1894,103,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,1,7,0,1,0,0,0,1,FALSE
Bóc wa Giáng Sinh hihi 🎁🎄🫶❄️ #phuongly #merrychristmas ,12/26/2024 13:12,26/12/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound - Phương Ly Trần,7.4526E+18,https://www.tiktok.com/@phuonglytran/video/7452599598624804114,361,3058,10,246500,64,32,"phuongly, merrychristmas",FALSE,FALSE,phuonglytran,FALSE,FALSE,TRUE,1,2,6,0,0,1,0,0,0,FALSE
Chính chủ đu chen ❄️🫠 #phuongly #phuonglyharuharu #justatee #thangdien #quacautuyet ,12/21/2024 22:06,21/12/2024,FALSE,https://www.tiktok.com/@phuonglytran,Thằng Điên,7.12275E+18,https://www.tiktok.com/@phuonglytran/video/7450881757836004616,25,42000,1152,637800,277,162,"phuongly, phuonglyharuharu, justatee, thangdien, quacautuyet",FALSE,FALSE,phuonglytran,FALSE,FALSE,TRUE,2,5,5,0,0,0,0,1,1,FALSE
Callme #phuongly ,12/20/2024 19:45,20/12/2024,FALSE,https://www.tiktok.com/@phuonglytran,I Just Called,7.09952E+18,https://www.tiktok.com/@phuonglytran/video/7450474288689253640,15,7391,108,263100,229,84,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,0,1,1,0,0,0,1,0,0,FALSE
Sin lỏi ngiu em 🥹🌼 #phuongly #gdragon #power ,11/15/2024 16:37,15/11/2024,FALSE,https://www.tiktok.com/@phuonglytran,PO￦ER,7.43094E+18,https://www.tiktok.com/@phuonglytran/video/7437437903841578258,30,1900000,18800,28100000,40700,5799,"phuongly, gdragon, power",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,3,4,0,0,1,0,0,0,TRUE
MissingU 6.11 #phuongly ,11/6/2024 20:58,6/11/2024,FALSE,https://www.tiktok.com/@phuonglytran,Missing You,7.26725E+18,https://www.tiktok.com/@phuonglytran/video/7434165404446117128,83,6863,114,400500,299,129,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,0,1,2,0,0,0,1,0,0,FALSE
#phuongly #halloween ,10/30/2024 15:28,30/10/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound - Phương Ly Trần,7.43148E+18,https://www.tiktok.com/@phuonglytran/video/7431482773656833288,10,20000,228,444500,227,135,"phuongly, halloween",FALSE,FALSE,phuonglytran,FALSE,FALSE,TRUE,0,2,0,0,0,1,0,0,0,FALSE
Ngộ Không 2024 #phuongly #halloween #tayduky #tonngokhong ,10/28/2024 16:05,28/10/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound - Phương Ly Trần,7.43075E+18,https://www.tiktok.com/@phuonglytran/video/7430749971827182856,154,11600,1277,408300,146,221,"phuongly, halloween, tayduky, tonngokhong",FALSE,FALSE,phuonglytran,FALSE,FALSE,TRUE,0,4,3,0,0,1,0,0,0,FALSE
Halloween bên em 🫣💘💘 #phuongly #halloween ,10/27/2024 20:40,27/10/2024,FALSE,https://www.tiktok.com/@phuonglytran,ghệ iu dấu của em ơi,7.19805E+18,https://www.tiktok.com/@phuonglytran/video/7430449958463098119,0,22300,381,404500,727,134,"phuongly, halloween",TRUE,FALSE,phuonglytran,FALSE,FALSE,TRUE,1,2,3,0,0,0,1,0,1,FALSE
